Alimento,Proteinas,Grasas,Carbohidratos,Horario,Ingredientes,Horario_1,Horario_2,Calorias_Total_100g
Causa de pollo,3.4,4.6,16.4,Almuerzo-Cena,POLLO-PAPA-PALTA,Almuerzo,Cena,120.6
Causa rellena de atún,3.2,3.4,12.9,Almuerzo-Cena,ATUN-POLLO-PALTA,Almuerzo,Cena,95
Cebiche de pescado con chicharron de pota,6.9,2.7,24.8,Almuerzo,PESCADO-HUEVO,Almuerzo,,151.1
Palta rellena,3.7,3.6,14.3,Almuerzo-Cena,PALTA- POLLO-ATUN,Almuerzo,Cena,104.4
Papa rellena con ensalada,3.3,6,17.6,Almuerzo-Cena,PAPA-CARNE,Almuerzo,Cena,137.6
Adobo de cerdo y arroz,6.3,1.9,31.8,Almuerzo-Cena,CERDO-ARROZ,Almuerzo,Cena,169.5
Adobo de cerdo con menestra y arroz,9.7,3.4,23.8,Almuerzo,CERDO-LENTEJA-ARROZ,Almuerzo,,164.6
Adobo de pollo y arroz,8.1,1.4,21.1,Almuerzo-Cena,POLLO-ARROZ,Almuerzo,Cena,129.4
Adobo de pollo con ensalada y arroz,4.9,2.2,26,Almuerzo,POLLO-ARROZ,Almuerzo,,143.4
Aji de pollo y arroz,4.9,3.7,25.4,Almuerzo,POLLO-ARROZ-PAN,Almuerzo,,154.5
Anticucho con papa y arroz,9.8,3.3,10.3,Almuerzo-Cena,PAPA-ARROZ-CARNE,Almuerzo,Cena,110.1
Arroz con frejol y seco de res,6.9,2.2,22.2,Almuerzo-Cena,FREJOL-RES-ARROZ,Almuerzo,Cena,136.2
Arroz con frejoles y seco de pollo,7.7,1.4,17.8,Almuerzo-Cena,FRIJOL-POLLO-ARROZ,Almuerzo,Cena,114.6
Arroz con mariscos,6.9,2.7,21.2,Almuerzo-Cena,PESCADO-ARROZ,Almuerzo,Cena,136.7
Arroz con pollo,6.9,2.2,23,Almuerzo,ARROZ-POLLO-CHOCLO,Almuerzo,,139.4
Arvejita verde partida con estofado de pollo y arroz,8.8,2.8,20.2,Almuerzo-Cena,LENTEJAS-POLLO-ARROZ,Almuerzo,Cena,141.2
Asado de cerdo con arvejita verde y arroz,7.2,2,25.7,Almuerzo,CERDO-LENTEJA-ARROZ,Almuerzo,,149.6
Asado de cerdo con menestra y arroz,8,2.2,24.9,Almuerzo,CERDO-LENTEJA-ARROZ,Almuerzo,,151.4
Asado de pollo y arroz,9.3,3,22,Almuerzo-Cena,POLLO-ARROZ,Almuerzo,Cena,152.2
Asado de pollo con menestra y arroz,9.6,1.9,22.3,Almuerzo-Cena,POLLO-ARROZ-LENTEJA,Almuerzo,Cena,144.7
Asado de pollo con pure y arroz,6.4,2.7,23.7,Almuerzo,POLLO-PAPA-ARROZ,Almuerzo,,144.7
Asado de res y arroz,6.1,0.5,21.7,Almuerzo-Cena,CARNE-ARROZ,Almuerzo,Cena,115.7
Asado de res con menestra y arroz,7.2,0.9,17.6,Almuerzo-Cena,CARNE-LENTEJA-ARROZ,Almuerzo,Cena,107.3
Bisteck de res con papas fritas y arroz,3.4,3.1,13.5,Almuerzo-Cena,CARNE-PAPA-ARROZ,Almuerzo,Cena,95.5
Cabrito a la norteña con arroz,3.8,0.7,15.6,Almuerzo-Cena,CARNE-ARROZ,Almuerzo,Cena,83.9
Cabrito con frejoles y arroz,7.6,2.1,26.1,Almuerzo,CARNE-FRIJOL-ARROZ,Almuerzo,,153.7
Cau cau con arroz,4.6,3.1,19.8,Almuerzo-Cena,PAPA-ARROZ-CERDO,Almuerzo,Cena,125.5
Chuleta a la parrilla con arroz,6.3,1.8,17.2,Almuerzo-Cena,CERDO-ARROZ,Almuerzo,Cena,110.2
Churrasco con frejoles y arroz,10.9,6.4,17.8,Almuerzo-Cena,CARNE-FRIJOL-ARROZ,Almuerzo,Cena,172.4
Churrasco con papas fritas con ensalada y arroz,4.6,4.3,24.4,Almuerzo,CARNE-PAPA-ARROZ,Almuerzo,,154.7
Combinado de pollo,4.8,1.7,22.2,Almuerzo-Cena,ARROZ-FIDEO-POLLO,Almuerzo,Cena,123.3
Cordero a la norteña con frejoles y arroz,7.5,3.8,20.8,Almuerzo-Cena,CARNE-FIJOL-ARROZ,Almuerzo,Cena,147.4
Ensalada rusa con pollo al horno y arroz,9.8,1.4,21.4,Almuerzo-Cena,PAPA-CHOCLO-POLLO-ARROZ,Almuerzo,Cena,137.4
Escabeche de pollo con arroz,6.7,2.8,22.7,Almuerzo-Cena,POLLO-ARROZ,Almuerzo,Cena,142.8
Estofado de pavita con arroz y ensalada,5.8,2.3,23.2,Almuerzo,PAVITA-ARROZ,Almuerzo,,136.7
Estofado de pollo con arroz,7,1.9,19,Almuerzo-Cena,POLLO-ARROZ,Almuerzo,Cena,121.1
Estofado de pollo con menestra y arroz,7.9,1.6,19.4,Almuerzo-Cena,POLLO-LENTEJA-ARROZ,Almuerzo,Cena,123.6
Filete de pescado con menestra y arroz,7.7,4.2,37.9,Almuerzo,PESCADO-LENTEJA-ARROZ,Almuerzo,,220.2
Frejoles con asado de carne y arroz,6.1,2.3,18.4,Almuerzo-Cena,FRIJOL-CARNE-ARROZ,Almuerzo,Cena,118.7
Frejoles con cabrito a la norteña y arroz,9.1,5.6,18.8,Almuerzo-Cena,FRIJOL-CARNE-ARROZ,Almuerzo,Cena,162
Frejoles con pescado y arroz,7.2,7.1,17.4,Almuerzo-Cena,FRIJOL-PESCADO-ARROZ,Almuerzo,Cena,162.3
Frejoles con pescado con ensalada y arroz,8.9,5,24.4,Almuerzo,FRIJOL-PESCADO-ARROZ,Almuerzo,,178.2
Frejoles con seco a la norteña y arroz,9.3,1.6,15.4,Almuerzo-Cena,FRIJOL-CARNE-ARROZ,Almuerzo,Cena,113.2
Frejoles con seco y arroz,7.9,2.6,37.1,Almuerzo,FRIJOL-CARNE-ARROZ,Almuerzo,,203.4
Frejoles con seco y ensalada y arroz,10.6,3.8,29.5,Almuerzo,FRIJOL-CARNE-ARROZ,Almuerzo,,194.6
Garbanzo con pescado y arroz,6.2,2.6,20.5,Almuerzo-Cena,PESCADO-ARROZ-LENTEJA,Almuerzo,Cena,130.2
Guiso de caigua con arroz,6.7,2,22.3,Almuerzo-Cena,POLLO-ARROZ,Almuerzo,Cena,134
Higado encebollado con arroz,3.9,1.7,20.5,Almuerzo-Cena,CARNE-ARROZ,Almuerzo,Cena,112.9
Lenteja con chuleta y arroz,6.7,2.7,17.2,Almuerzo-Cena,LENTEJA-CERDO-ARROZ,Almuerzo,Cena,119.9
Lenteja con estofado de pollo y arroz,7.5,2.3,20.5,Almuerzo-Cena,LENTEJA-POLLO-ARROZ,Almuerzo,Cena,132.7
Lenteja con pescado y arroz,6,5.9,23.9,Almuerzo,LENTEJA-PESCADO-ARROZ,Almuerzo,,172.7
Locro con higado de carne y arroz,3.1,5.6,18.2,Almuerzo-Cena,CHOCLO-ARROZ-CARNE,Almuerzo,Cena,135.6
Lomito de atún con arroz,4.9,4.9,24.8,Almuerzo,ATUN-POLLO-ARROZ,Almuerzo,,162.9
